Type,Code,Title
NAICS,	114,"Fishing, Hunting and Trapping"
NAICS,	1141,Fishing
NAICS,	11411,Fishing
NAICS,	114111,Finfish Fishing
NAICS,	114112,Shellfish Fishing
NAICS,	114119,Other Marine Fishing
NAICS,	1142,Hunting and Trapping
NAICS,	11421,Hunting and Trapping
NAICS,	114210,Hunting and Trapping
NAICS,	115,Support Activities for Agriculture and Forestry
NAICS,	1151,Support Activities for Crop Production
NAICS,	11511,Support Activities for Crop Production
NAICS,	115111,Cotton Ginning
NAICS,	115112,"Soil Preparation, Planting, and Cultivating"
NAICS,	115113,"Crop Harvesting, Primarily by Machine"
NAICS,	115114,Postharvest Crop Activities (except Cotton Ginning)
NAICS,	115115,Farm Labor Contractors and Crew Leaders
NAICS,	115116,Farm Management Services
NAICS,	1152,Support Activities for Animal Production
NAICS,	11521,Support Activities for Animal Production
NAICS,	115210,Support Activities for Animal Production
NAICS,	1153,Support Activities for Forestry
NAICS,	11531,Support Activities for Forestry
NAICS,	115310,Support Activities for Forestry
NAICS,	21,"Mining, Quarrying, and Oil and Gas Extraction"
NAICS,	211,Oil and Gas Extraction
NAICS,	2111,Oil and Gas Extraction
NAICS,	21112,Crude Petroleum Extraction
NAICS,	211120,Crude Petroleum Extraction
NAICS,	21113,Natural Gas Extraction
NAICS,	211130,Natural Gas Extraction
NAICS,	212,Mining (except Oil and Gas)
NAICS,	2121,Coal Mining
NAICS,	21211,Coal Mining
NAICS,	212111,Bituminous Coal and Lignite Surface Mining
NAICS,	212112,Bituminous Coal Underground Mining
NAICS,	212113,Anthracite Mining
NAICS,	2122,Metal Ore Mining
NAICS,	21221,Iron Ore Mining
NAICS,	212210,Iron Ore Mining
NAICS,	21222,Gold Ore and Silver Ore Mining
NAICS,	212221,Gold Ore Mining
NAICS,	212222,Silver Ore Mining
NAICS,	21223,"Copper, Nickel, Lead, and Zinc Mining"
NAICS,	212230,"Copper, Nickel, Lead, and Zinc Mining"
NAICS,	21229,Other Metal Ore Mining
NAICS,	212291,Uranium-Radium-Vanadium Ore Mining
NAICS,	212299,All Other Metal Ore Mining
NAICS,	2123,Nonmetallic Mineral Mining and Quarrying
NAICS,	21231,Stone Mining and Quarrying
NAICS,	212311,Dimension Stone Mining and Quarrying
NAICS,	212312,Crushed and Broken Limestone Mining and Quarrying
NAICS,	212313,Crushed and Broken Granite Mining and Quarrying
NAICS,	212319,Other Crushed and Broken Stone Mining and Quarrying
NAICS,	21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
NAICS,	212321,Construction Sand and Gravel Mining
NAICS,	212322,Industrial Sand Mining
NAICS,	212324,Kaolin and Ball Clay Mining
NAICS,	212325,Clay and Ceramic and Refractory Minerals Mining
NAICS,	21239,Other Nonmetallic Mineral Mining and Quarrying
NAICS,	212391,"Potash, Soda, and Borate Mineral Mining"
NAICS,	212392,Phosphate Rock Mining
NAICS,	212393,Other Chemical and Fertilizer Mineral Mining
NAICS,	212399,All Other Nonmetallic Mineral Mining
NAICS,	213,Support Activities for Mining
NAICS,	2131,Support Activities for Mining
NAICS,	21311,Support Activities for Mining
NAICS,	213111,Drilling Oil and Gas Wells
NAICS,	213112,Support Activities for Oil and Gas Operations
NAICS,	213113,Support Activities for Coal Mining
NAICS,	213114,Support Activities for Metal Mining
NAICS,	213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
NAICS,	22,Utilities
NAICS,	221,Utilities
NAICS,	2211,"Electric Power Generation, Transmission and Distribution"
NAICS,	22111,Electric Power Generation
NAICS,	221111,Hydroelectric Power Generation
NAICS,	221112,Fossil Fuel Electric Power Generation
NAICS,	221113,Nuclear Electric Power Generation
NAICS,	221114,Solar Electric Power Generation
NAICS,	221115,Wind Electric Power Generation
NAICS,	221116,Geothermal Electric Power Generation
NAICS,	221117,Biomass Electric Power Generation
NAICS,	221118,Other Electric Power Generation
NAICS,	22112,"Electric Power Transmission, Control, and Distribution"
NAICS,	221121,Electric Bulk Power Transmission and Control
NAICS,	221122,Electric Power Distribution
NAICS,	2212,Natural Gas Distribution
NAICS,	22121,Natural Gas Distribution
NAICS,	221210,Natural Gas Distribution
NAICS,	2213,"Water, Sewage and Other Systems"
NAICS,	22131,Water Supply and Irrigation Systems
NAICS,	221310,Water Supply and Irrigation Systems
NAICS,	22132,Sewage Treatment Facilities
NAICS,	221320,Sewage Treatment Facilities
NAICS,	22133,Steam and Air-Conditioning Supply
NAICS,	221330,Steam and Air-Conditioning Supply
NAICS,	23,Construction
NAICS,	236,Construction of Buildings
NAICS,	2361,Residential Building Construction
NAICS,	23611,Residential Building Construction
NAICS,	236115,New Single-Family Housing Construction (except For-Sale Builders)
NAICS,	236116,New Multifamily Housing Construction (except For-Sale Builders)
NAICS,	236117,New Housing For-Sale Builders
NAICS,	236118,Residential Remodelers
NAICS,	2362,Nonresidential Building Construction
NAICS,	23621,Industrial Building Construction
NAICS,	236210,Industrial Building Construction
NAICS,	23622,Commercial and Institutional Building Construction
NAICS,	236220,Commercial and Institutional Building Construction
NAICS,	237,Heavy and Civil Engineering Construction
NAICS,	2371,Utility System Construction
NAICS,	23711,Water and Sewer Line and Related Structures Construction
NAICS,	237110,Water and Sewer Line and Related Structures Construction
NAICS,	23712,Oil and Gas Pipeline and Related Structures Construction
NAICS,	237120,Oil and Gas Pipeline and Related Structures Construction
NAICS,	23713,Power and Communication Line and Related Structures Construction
NAICS,	237130,Power and Communication Line and Related Structures Construction
NAICS,	2372,Land Subdivision
NAICS,	23721,Land Subdivision
NAICS,	237210,Land Subdivision
NAICS,	2373,"Highway, Street, and Bridge Construction"
NAICS,	23731,"Highway, Street, and Bridge Construction"
NAICS,	237310,"Highway, Street, and Bridge Construction"
NAICS,	2379,Other Heavy and Civil Engineering Construction
NAICS,	23799,Other Heavy and Civil Engineering Construction
NAICS,	237990,Other Heavy and Civil Engineering Construction
NAICS,	238,Specialty Trade Contractors
NAICS,	2381,"Foundation, Structure, and Building Exterior Contractors"
NAICS,	23811,Poured Concrete Foundation and Structure Contractors
NAICS,	238110,Poured Concrete Foundation and Structure Contractors
NAICS,	23812,Structural Steel and Precast Concrete Contractors
NAICS,	238120,Structural Steel and Precast Concrete Contractors
NAICS,	23813,Framing Contractors
NAICS,	238130,Framing Contractors
NAICS,	23814,Masonry Contractors
NAICS,	238140,Masonry Contractors
NAICS,	23815,Glass and Glazing Contractors
NAICS,	238150,Glass and Glazing Contractors
NAICS,	23816,Roofing Contractors
NAICS,	238160,Roofing Contractors
NAICS,	23817,Siding Contractors
NAICS,	238170,Siding Contractors
NAICS,	23819,"Other Foundation, Structure, and Building Exterior Contractors"
NAICS,	238190,"Other Foundation, Structure, and Building Exterior Contractors"
NAICS,	2382,Building Equipment Contractors
NAICS,	23821,Electrical Contractors and Other Wiring Installation Contractors
NAICS,	238210,Electrical Contractors and Other Wiring Installation Contractors
NAICS,	23822,"Plumbing, Heating, and Air-Conditioning Contractors"
NAICS,	238220,"Plumbing, Heating, and Air-Conditioning Contractors"
NAICS,	23829,Other Building Equipment Contractors
NAICS,	238290,Other Building Equipment Contractors
NAICS,	2383,Building Finishing Contractors
NAICS,	23831,Drywall and Insulation Contractors
NAICS,	238310,Drywall and Insulation Contractors
NAICS,	23832,Painting and Wall Covering Contractors
NAICS,	238320,Painting and Wall Covering Contractors
NAICS,	23833,Flooring Contractors
NAICS,	238330,Flooring Contractors
NAICS,	23834,Tile and Terrazzo Contractors
NAICS,	238340,Tile and Terrazzo Contractors
NAICS,	23835,Finish Carpentry Contractors
NAICS,	238350,Finish Carpentry Contractors
NAICS,	23839,Other Building Finishing Contractors
NAICS,	238390,Other Building Finishing Contractors
NAICS,	2389,Other Specialty Trade Contractors
NAICS,	23891,Site Preparation Contractors
NAICS,	238910,Site Preparation Contractors
NAICS,	23899,All Other Specialty Trade Contractors
NAICS,	238990,All Other Specialty Trade Contractors
NAICS,	311,Food Manufacturing
NAICS,	3111,Animal Food Manufacturing
NAICS,	31111,Animal Food Manufacturing
NAICS,	311111,Dog and Cat Food Manufacturing
NAICS,	311119,Other Animal Food Manufacturing
NAICS,	3112,Grain and Oilseed Milling
NAICS,	31121,Flour Milling and Malt Manufacturing
NAICS,	311211,Flour Milling
NAICS,	311212,Rice Milling
NAICS,	311213,Malt Manufacturing
NAICS,	31122,Starch and Vegetable Fats and Oils Manufacturing
NAICS,	311221,Wet Corn Milling
NAICS,	311224,Soybean and Other Oilseed Processing
NAICS,	311225,Fats and Oils Refining and Blending
NAICS,	31123,Breakfast Cereal Manufacturing
NAICS,	311230,Breakfast Cereal Manufacturing
NAICS,	3113,Sugar and Confectionery Product Manufacturing
NAICS,	31131,Sugar Manufacturing
NAICS,	311313,Beet Sugar Manufacturing
NAICS,	311314,Cane Sugar Manufacturing
NAICS,	31134,Nonchocolate Confectionery Manufacturing
NAICS,	311340,Nonchocolate Confectionery Manufacturing
NAICS,	31135,Chocolate and Confectionery Manufacturing
NAICS,	311351,Chocolate and Confectionery Manufacturing from Cacao Beans
NAICS,	311352,Confectionery Manufacturing from Purchased Chocolate
NAICS,	3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
NAICS,	31141,Frozen Food Manufacturing
NAICS,	311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
NAICS,	311412,Frozen Specialty Food Manufacturing
NAICS,	31142,"Fruit and Vegetable Canning, Pickling, and Drying"
NAICS,	311421,Fruit and Vegetable Canning
NAICS,	311422,Specialty Canning
NAICS,	311423,Dried and Dehydrated Food Manufacturing
NAICS,	3115,Dairy Product Manufacturing
NAICS,	31151,Dairy Product (except Frozen) Manufacturing
NAICS,	311511,Fluid Milk Manufacturing
NAICS,	311512,Creamery Butter Manufacturing
NAICS,	311513,Cheese Manufacturing
NAICS,	311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
NAICS,	31152,Ice Cream and Frozen Dessert Manufacturing
NAICS,	311520,Ice Cream and Frozen Dessert Manufacturing
NAICS,	3116,Animal Slaughtering and Processing
NAICS,	31161,Animal Slaughtering and Processing
NAICS,	311611,Animal (except Poultry) Slaughtering
NAICS,	311612,Meat Processed from Carcasses
NAICS,	311613,Rendering and Meat Byproduct Processing
NAICS,	311615,Poultry Processing
NAICS,	3117,Seafood Product Preparation and Packaging
NAICS,	31171,Seafood Product Preparation and Packaging
NAICS,	311710,Seafood Product Preparation and Packaging
NAICS,	3118,Bakeries and Tortilla Manufacturing
NAICS,	31181,Bread and Bakery Product Manufacturing
NAICS,	311811,Retail Bakeries
NAICS,	311812,Commercial Bakeries
NAICS,	311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
NAICS,	31182,"Cookie, Cracker, and Pasta Manufacturing"
NAICS,	311821,Cookie and Cracker Manufacturing
NAICS,	311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
NAICS,	31183,Tortilla Manufacturing
NAICS,	311830,Tortilla Manufacturing
NAICS,	3119,Other Food Manufacturing
NAICS,	31191,Snack Food Manufacturing
NAICS,	311911,Roasted Nuts and Peanut Butter Manufacturing
NAICS,	311919,Other Snack Food Manufacturing
NAICS,	31192,Coffee and Tea Manufacturing
NAICS,	311920,Coffee and Tea Manufacturing
NAICS,	31193,Flavoring Syrup and Concentrate Manufacturing
NAICS,	311930,Flavoring Syrup and Concentrate Manufacturing
NAICS,	31194,Seasoning and Dressing Manufacturing
NAICS,	311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
NAICS,	311942,Spice and Extract Manufacturing
NAICS,	31199,All Other Food Manufacturing
NAICS,	311991,Perishable Prepared Food Manufacturing
NAICS,	311999,All Other Miscellaneous Food Manufacturing
NAICS,	312,Beverage and Tobacco Product Manufacturing
NAICS,	3121,Beverage Manufacturing
NAICS,	31211,Soft Drink and Ice Manufacturing
NAICS,	312111,Soft Drink Manufacturing
NAICS,	312112,Bottled Water Manufacturing
NAICS,	312113,Ice Manufacturing
NAICS,	31212,Breweries
NAICS,	312120,Breweries
NAICS,	31213,Wineries
NAICS,	312130,Wineries
NAICS,	31214,Distilleries
NAICS,	312140,Distilleries
NAICS,	3122,Tobacco Manufacturing
NAICS,	31223,Tobacco Manufacturing
NAICS,	312230,Tobacco Manufacturing
NAICS,	313,Textile Mills
NAICS,	3131,"Fiber, Yarn, and Thread Mills"
NAICS,	31311,"Fiber, Yarn, and Thread Mills"
NAICS,	313110,"Fiber, Yarn, and Thread Mills"
NAICS,	3132,Fabric Mills
NAICS,	31321,Broadwoven Fabric Mills
NAICS,	313210,Broadwoven Fabric Mills
NAICS,	31322,Narrow Fabric Mills and Schiffli Machine Embroidery
NAICS,	313220,Narrow Fabric Mills and Schiffli Machine Embroidery
NAICS,	31323,Nonwoven Fabric Mills
NAICS,	313230,Nonwoven Fabric Mills
NAICS,	31324,Knit Fabric Mills
NAICS,	313240,Knit Fabric Mills
NAICS,	3133,Textile and Fabric Finishing and Fabric Coating Mills
NAICS,	31-33,Manufacturing
NAICS,	31331,Textile and Fabric Finishing Mills
NAICS,	313310,Textile and Fabric Finishing Mills
NAICS,	31332,Fabric Coating Mills
NAICS,	313320,Fabric Coating Mills
NAICS,	314,Textile Product Mills
NAICS,	3141,Textile Furnishings Mills
NAICS,	31411,Carpet and Rug Mills
NAICS,	314110,Carpet and Rug Mills
NAICS,	31412,Curtain and Linen Mills
NAICS,	314120,Curtain and Linen Mills
NAICS,	3149,Other Textile Product Mills
NAICS,	31491,Textile Bag and Canvas Mills
NAICS,	314910,Textile Bag and Canvas Mills
NAICS,	31499,All Other Textile Product Mills
NAICS,	314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
NAICS,	314999,All Other Miscellaneous Textile Product Mills
NAICS,	315,Apparel Manufacturing
NAICS,	3151,Apparel Knitting Mills
NAICS,	31511,Hosiery and Sock Mills
NAICS,	315110,Hosiery and Sock Mills
NAICS,	31519,Other Apparel Knitting Mills
NAICS,	315190,Other Apparel Knitting Mills
NAICS,	3152,Cut and Sew Apparel Manufacturing
NAICS,	31521,Cut and Sew Apparel Contractors
NAICS,	315210,Cut and Sew Apparel Contractors
NAICS,	31522,Men�s and Boys� Cut and Sew Apparel Manufacturing
NAICS,	315220,Men�s and Boys� Cut and Sew Apparel Manufacturing
NAICS,	31524,"Women�s, Girls�, and Infants� Cut and Sew Apparel Manufacturing"
NAICS,	315240,"Women�s, Girls�, and Infants� Cut and Sew Apparel Manufacturing"
NAICS,	31528,Other Cut and Sew Apparel Manufacturing
NAICS,	315280,Other Cut and Sew Apparel Manufacturing
NAICS,	3159,Apparel Accessories and Other Apparel Manufacturing
NAICS,	31599,Apparel Accessories and Other Apparel Manufacturing
NAICS,	315990,Apparel Accessories and Other Apparel Manufacturing
NAICS,	316,Leather and Allied Product Manufacturing
NAICS,	3161,Leather and Hide Tanning and Finishing
NAICS,	31611,Leather and Hide Tanning and Finishing
NAICS,	316110,Leather and Hide Tanning and Finishing
NAICS,	3162,Footwear Manufacturing
NAICS,	31621,Footwear Manufacturing
NAICS,	316210,Footwear Manufacturing
NAICS,	3169,Other Leather and Allied Product Manufacturing
NAICS,	31699,Other Leather and Allied Product Manufacturing
NAICS,	316992,Women's Handbag and Purse Manufacturing
NAICS,	316998,All Other Leather Good and Allied Product Manufacturing
NAICS,	321,Wood Product Manufacturing
NAICS,	3211,Sawmills and Wood Preservation
NAICS,	32111,Sawmills and Wood Preservation
NAICS,	321113,Sawmills
NAICS,	321114,Wood Preservation
NAICS,	3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
NAICS,	32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
NAICS,	321211,Hardwood Veneer and Plywood Manufacturing
NAICS,	321212,Softwood Veneer and Plywood Manufacturing
NAICS,	321213,Engineered Wood Member (except Truss) Manufacturing
NAICS,	321214,Truss Manufacturing
NAICS,	321219,Reconstituted Wood Product Manufacturing
NAICS,	3219,Other Wood Product Manufacturing
NAICS,	32191,Millwork
NAICS,	321911,Wood Window and Door Manufacturing
NAICS,	321912,"Cut Stock, Resawing Lumber, and Planing"
NAICS,	321918,Other Millwork (including Flooring)
NAICS,	32192,Wood Container and Pallet Manufacturing
NAICS,	321920,Wood Container and Pallet Manufacturing
NAICS,	32199,All Other Wood Product Manufacturing
NAICS,	321991,Manufactured Home (Mobile Home) Manufacturing
NAICS,	321992,Prefabricated Wood Building Manufacturing
NAICS,	321999,All Other Miscellaneous Wood Product Manufacturing
NAICS,	322,Paper Manufacturing
NAICS,	3221,"Pulp, Paper, and Paperboard Mills"
NAICS,	32211,Pulp Mills
NAICS,	322110,Pulp Mills
NAICS,	32212,Paper Mills
NAICS,	322121,Paper (except Newsprint) Mills
NAICS,	322122,Newsprint Mills
NAICS,	32213,Paperboard Mills
NAICS,	322130,Paperboard Mills
NAICS,	3222,Converted Paper Product Manufacturing
NAICS,	32221,Paperboard Container Manufacturing
NAICS,	322211,Corrugated and Solid Fiber Box Manufacturing
NAICS,	322212,Folding Paperboard Box Manufacturing
NAICS,	322219,Other Paperboard Container Manufacturing
NAICS,	32222,Paper Bag and Coated and Treated Paper Manufacturing
NAICS,	322220,Paper Bag and Coated and Treated Paper Manufacturing
NAICS,	32223,Stationery Product Manufacturing
NAICS,	322230,Stationery Product Manufacturing
NAICS,	32229,Other Converted Paper Product Manufacturing
NAICS,	322291,Sanitary Paper Product Manufacturing
NAICS,	322299,All Other Converted Paper Product Manufacturing
NAICS,	323,Printing and Related Support Activities
NAICS,	3231,Printing and Related Support Activities
NAICS,	32311,Printing
NAICS,	323111,Commercial Printing (except Screen and Books)
NAICS,	323113,Commercial Screen Printing
NAICS,	323117,Books Printing
NAICS,	32312,Support Activities for Printing
NAICS,	323120,Support Activities for Printing
NAICS,	324,Petroleum and Coal Products Manufacturing
NAICS,	3241,Petroleum and Coal Products Manufacturing
NAICS,	32411,Petroleum Refineries
NAICS,	324110,Petroleum Refineries
NAICS,	32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
NAICS,	324121,Asphalt Paving Mixture and Block Manufacturing
NAICS,	324122,Asphalt Shingle and Coating Materials Manufacturing
NAICS,	32419,Other Petroleum and Coal Products Manufacturing
NAICS,	324191,Petroleum Lubricating Oil and Grease Manufacturing
NAICS,	324199,All Other Petroleum and Coal Products Manufacturing
NAICS,	325,Chemical Manufacturing
NAICS,	3251,Basic Chemical Manufacturing
NAICS,	32511,Petrochemical Manufacturing
NAICS,	325110,Petrochemical Manufacturing
NAICS,	32512,Industrial Gas Manufacturing
NAICS,	325120,Industrial Gas Manufacturing
NAICS,	32513,Synthetic Dye and Pigment Manufacturing
NAICS,	325130,Synthetic Dye and Pigment Manufacturing
NAICS,	32518,Other Basic Inorganic Chemical Manufacturing
NAICS,	325180,Other Basic Inorganic Chemical Manufacturing
NAICS,	32519,Other Basic Organic Chemical Manufacturing
NAICS,	325193,Ethyl Alcohol Manufacturing
NAICS,	325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
NAICS,	325199,All Other Basic Organic Chemical Manufacturing
NAICS,	3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
NAICS,	32521,Resin and Synthetic Rubber Manufacturing
NAICS,	325211,Plastics Material and Resin Manufacturing
NAICS,	325212,Synthetic Rubber Manufacturing
NAICS,	32522,Artificial and Synthetic Fibers and Filaments Manufacturing
NAICS,	325220,Artificial and Synthetic Fibers and Filaments Manufacturing
NAICS,	3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
NAICS,	32531,Fertilizer Manufacturing
NAICS,	325311,Nitrogenous Fertilizer Manufacturing
NAICS,	325312,Phosphatic Fertilizer Manufacturing
NAICS,	325314,Fertilizer (Mixing Only) Manufacturing
NAICS,	32532,Pesticide and Other Agricultural Chemical Manufacturing
NAICS,	325320,Pesticide and Other Agricultural Chemical Manufacturing
NAICS,	3254,Pharmaceutical and Medicine Manufacturing
NAICS,	32541,Pharmaceutical and Medicine Manufacturing
NAICS,	325411,Medicinal and Botanical Manufacturing
NAICS,	325412,Pharmaceutical Preparation Manufacturing
NAICS,	325413,In-Vitro Diagnostic Substance Manufacturing
NAICS,	325414,Biological Product (except Diagnostic) Manufacturing
NAICS,	3255,"Paint, Coating, and Adhesive Manufacturing"
NAICS,	32551,Paint and Coating Manufacturing
NAICS,	325510,Paint and Coating Manufacturing
NAICS,	32552,Adhesive Manufacturing
NAICS,	325520,Adhesive Manufacturing
NAICS,	3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
NAICS,	32561,Soap and Cleaning Compound Manufacturing
NAICS,	325611,Soap and Other Detergent Manufacturing
NAICS,	325612,Polish and Other Sanitation Good Manufacturing
NAICS,	325613,Surface Active Agent Manufacturing
NAICS,	32562,Toilet Preparation Manufacturing
NAICS,	325620,Toilet Preparation Manufacturing
NAICS,	3259,Other Chemical Product and Preparation Manufacturing
NAICS,	32591,Printing Ink Manufacturing
NAICS,	325910,Printing Ink Manufacturing
NAICS,	32592,Explosives Manufacturing
NAICS,	325920,Explosives Manufacturing
NAICS,	32599,All Other Chemical Product and Preparation Manufacturing
NAICS,	325991,Custom Compounding of Purchased Resins
NAICS,	325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
NAICS,	325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
NAICS,	326,Plastics and Rubber Products Manufacturing
NAICS,	3261,Plastics Product Manufacturing
NAICS,	32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
NAICS,	326111,Plastics Bag and Pouch Manufacturing
NAICS,	326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
NAICS,	326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
NAICS,	32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
NAICS,	326121,Unlaminated Plastics Profile Shape Manufacturing
NAICS,	326122,Plastics Pipe and Pipe Fitting Manufacturing
NAICS,	32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
NAICS,	326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
NAICS,	32614,Polystyrene Foam Product Manufacturing
NAICS,	326140,Polystyrene Foam Product Manufacturing
NAICS,	32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
NAICS,	326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
NAICS,	32616,Plastics Bottle Manufacturing
NAICS,	326160,Plastics Bottle Manufacturing
NAICS,	32619,Other Plastics Product Manufacturing
NAICS,	326191,Plastics Plumbing Fixture Manufacturing
NAICS,	326199,All Other Plastics Product Manufacturing
NAICS,	3262,Rubber Product Manufacturing
NAICS,	32621,Tire Manufacturing
NAICS,	326211,Tire Manufacturing (except Retreading)
NAICS,	326212,Tire Retreading
NAICS,	32622,Rubber and Plastics Hoses and Belting Manufacturing
NAICS,	326220,Rubber and Plastics Hoses and Belting Manufacturing
NAICS,	32629,Other Rubber Product Manufacturing
NAICS,	326291,Rubber Product Manufacturing for Mechanical Use
NAICS,	326299,All Other Rubber Product Manufacturing
NAICS,	327,Nonmetallic Mineral Product Manufacturing
NAICS,	3271,Clay Product and Refractory Manufacturing
NAICS,	32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
NAICS,	327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
